31.5014,22,40,50,60,70,80,90,100,110,120
1,706.913,700.346,695.38,684.237,669.299,659.437,622.502,579.629,413.437,342.148
2,738.245,727.396,723.224,714.158,694.087,686.007,646.05,602.03,418.019,367.005
3,723.664,713.97,707.301,698.26,683.138,668.788,635.094,592.943,420.638,346.554
