T,Average change in angle w.r.t. 25C,,,Standard deviation,,
deg C,deg,,,deg,,
,A,B,C,A,B,C
46.1,3.41,1.67,1.09,0.46,0.63,1.44
82.8,12.88,7.86,6.91,1.56,2.77,8.65
