,,h_total,ratio,arc length,diagonal
,,mm,mm/mm,mm,mm
Average,A,1.53,0.19,1.7,18.0
,B,1.50,0.27,1.5,17.8
,C,1.54,0.44,1.5,17.9
Std,A,0.07,0.00,0.1,0.1
,B,0.03,0.00,0.2,0.1
,C,0.08,0.00,0.1,0.1
